"id","profileName","text","date","title","rating","images","helpful"
"R1JHHJW39WKSSB","Akshay Kanwar","
  The reason, I am writing this review is I just read a few extremely negative comments and I felt so bad.What Robin has tried to achieve through his words on a paper is penetrating the tons of Junk Layer on our minds and heart and trying to take us towards the real meaning of our life and discovering our true potentials and shaping new ourselves. If you are looking for a fairy tale and thriller or some drama fiction, this book is definitely not for you. I would say this book will definitely test and make you question yourselves a lot of things and will definitely make you understand where the significance lies.Plus, I have seen reviews about the fiction(boring, unrelated) used in the book.Well, this is all about your interception, and people are different and they understand things differently and Robin has tried to create various images in our mind and has let us choose the scenarios that we want in our life while focusing on the things which will elevate anyone's life.And, it totally depends on you, that, how you intercept and absorb all that knowledge about mastery and evading mediocrity.One last thing, most of you guys reading these reviews are the ones craving for ""success""/""money""/ or in a very rare case ""peace"".This book preaches all three of them.
","Reviewed in India on 24 April 2019","Its Pure Gold and to retrieve that Gold, is up to you only",5,"","1"
"R1RWGH23L5JUMA","Amazon Customer","
  I am avid reader and read anything which can be read and give some insight in life. During that reading, i came across the book, ""A monk who sold his ferrari"" by Robin Sharma; almost a decade back. I became fan of him. I read few self improvement book before it; like you can win, who moved my cheese, who ate my cheese, eat that frog, rich dad poor dad etc. But i preferred fluidity and easy concept by robin sharma. I have heard more than 80 you tube lectures from Robin Sharma, almost more than 3 times each. I read so many notes from robin sharma nation.This whole introduction, just to say; i am long time follower of Robin Sharma.Then since last 6 months, waiting for this book 5 am club. I preordered it .In his typical language, i am going to deconstruct his book. I read it taking good time. Few chapters, i reread for better under standing. For few chapter; i have made few simple notes to avoid lengthy story line. So after reading his book, after following him from more than a decade; these are my views.First and foremost, any read which is non digital, is better. So better to grab a book. Reading always gives a new dimension to same thing which has been told in you tube or read on net by same author. Diagrams are fabulous things in whole book. I printed few diaphragms and stuck on my room wall. Reading slow makes thing wonderful for book like this, as few things are really crowded. I mean so many things in one or two page, and nothing to grab for two more page. One need to makes some notes in last 70 pages. It is relatively easy read linguistically, but not as fluid as A monk who sold his ferrari,Who should read and digest this book: In one line, this is a book for people who believe that  discipline is worst thing in life. This book will explains you importance of discipline, how disciplined one hour in morning lead you to planning your whole day, week and life, and how you can fulfill your complete family and professional life satisfactorily. Scientific basis of everything is explained wherever possible and needed. Hardest part of book, is implementing principles in real life. And as Robin Sharma used to say; all changes are hard at first, messy in middle and gorgeous at the end.After hearing 80 lectures; more than 3 times each, reading almost everything on robinsharma.com; this book sometimes feel repetative. Actual principles of 5 am club, starts in last 70 pages. Reading is always better than listening pod casts or viewing you tube videos; but still. Except those diagrams, which are extremely helpful, all contents i have heard in a way or other in podcasts and youtube.But still i read this book and willing to read 2-3 times more if i can get something more .Rating is just based on my expectations.
","Reviewed in India on 8 March 2019","5 am club.",3,"","1"
"R1795MMVCYIO0G","Kunal Khatke","
  So, after finishing the book, i felt like it was too early for me to judge the book and its content but now I can definitely say this book is really a GEM!yeah I agree ,  in the beginning you might feel a bit frustrated, dried out and bored because of the fictional story and too much of ""talk-talk"" but believe me keep reading it. Robin Sharma has definitely put in some hard work and has tried his level best to put forth all the principles needed for a successful 5 AM routine with detailed explanation and scientific reasoning.Though it might sound boring in the beginning NO ONE can deny the fact that this book is a total game changer!Once you start the book it will be difficult for you carry it forward, after sometime when reached in middle you'll feel its too much for to comprehend but as you approach the end you will definitely realize that all the effort you put in was WORTH!After finishing the book I realized that his quote, "" Change is hard in the beginning, messy in the middle and gorgeous in the end"" fits aptly for his book !! I would definitely recommend this book for any one who want to change their lives drastically.GO FOR IT ! !
","Reviewed in India on 7 February 2019","Change is hard in the beginning, messy in the middle and gorgeous in the end ! !",5,"","1"
"R2O57MX6Q6XRDP","Rebecca","
  Reading this author for the first time, I guess I had high expectations being a best seller and all. I found it to be like a bollywood plot which had few portion of self help pieces force fitted into it.  I just thought it was such a waste of time, reading through some over dramatic, saccharine (enough to give me diabetes) plot, over loaded with quotes from many others to share about something perhaps we already know (our parents n grand parents may already be following). All said, it would have been a good book if it had just been a non-fiction with crisper content. I was heavily disappointed to have been misled to it being a great book (it may possibly appeal to people who haven't read non-fiction and want to try a story with a lesson).
","Reviewed in India on 15 October 2020","Disappointing",2,"","1"
"R1UC4UYPOYMWR4","Amit","
  I have loved reading Robin Sharma's books over the years, so was quite disappointed to get this kind of a book from him. It starts off weaving a story as is usually the case with his books, but very soon I totally lost interest. When you buy a book with such a title you would expect to get motivated in the initial chapters. But it just kept on with a boring story line and a bunch of characters. I eventually didn't even get to reading about the 5 AM club, just put the book aside. Waste of money.
","Reviewed in India on 24 February 2019","Not worth buying",1,"","1"
"R3LJ68B67OYHO","Amazon Customer","
  Road side product of amazon
","Reviewed in India on 18 July 2019","Don't buy it based on cost",1,"https://images-na.ssl-images-amazon.com/images/I/71qHF3gNQGL.jpg","1"
"R2S9TMYDUQC1DQ","B M Kapoor","
  With high expectations, I purchased this book and read from cover to cover. It is total trash. After many best-sellers, it seems an author forgets that the readers will not be taken in by tomfoolery.This book talks of an eccentric billionaire who wants to show off to his pupils his knowledge of exotic locations like Rome, Mauritius, Latin America and so on. With doves that appear from nowhere and miracles of footmen coming on the scene, the author dazzles you with imagery, without contributing anything original. The chapters are full of quotes from all over the world and quaint images of author's imagination.Don't waste your money on this book.
","Reviewed in India on 14 June 2019","What Trash",1,"","1"
"R2OQSD2ZPLGPQ3","Mahesh Patil","
  I purchased this The 5 AM Club book around last week of Dec 2018 because I wanted to start my new year with a bang. This book has helped me a lot with getting  up at 4.45 AM and also making a morning routine customized to myself which helps me to increase my productivity , energy, spirituality and gratitude. Already I can feel amazing changes happening within me and around me. My attitude towards life has changed and new perspectives are coming to me naturally as never before. I want to thank Robin Sharma for writing such a powerful book as always and helping all our fellow readers with such a powerful task which The 5 AM Club helps in achieving. If anyone is thinking of buying this book, Plz go ahead. You are awaiting magic in your life to happen. Thankyou.
","Reviewed in India on 19 January 2019","The 5 AM CLUB MEMBER",5,"https://images-na.ssl-images-amazon.com/images/I/61oOWn49G8L.jpg","1"
"R2E119FK6YC8I7","Amazon Customer","
  As Robin Sharma's other books, his profound words resonates within. His willingness to go an extra mile to elevate people's life through the 5 Am club is extraordinary. As you start reading the book you get fueled by the thoughts and the possibilities of owning the morning but few extra details distract you from the main topic i.e break the rhythm. Yet keep going its an great book to push you out of your comfort zone and give a taste of essence of life.
","Reviewed in India on 18 January 2019","The essence of the book!",4,"","1"
"R35I7L4IAOOS77","Karan","
  Author Robin Sharma has very beautifully summed up the important ideas backed by latest research and crafted this masterpiece to add value to the lives of people who does not have time to craft their lives in every aspect as they would wish to. We all long for betterness in our lives. The book motto is - ""Own your Day. Elevate your life."" So, robin specifically talks about Victory hour (5am - 6am) and important concepts like Cognitive bandwidth, Flow, Sleep optimization, Habit formation and Digital Detox that revolves around owning the early morning routine so that we have a great day ahead. He believes that Pain in the society is there because that potential inside us has not been given space to turn it into Mastery. So, by owning our days we can elevate our lives and in-turn the lives of others.Also, it includes a great collection of world class quotes like""If you plan on being anything less than who you are capable of being, you will probably be unhappy all the days of your life"" ~ Psychologist Abraham MaslowIf you love quotes, self growth or want to have better days in general, this book will surely fire up your neurons. Go for it!
","Reviewed in India on 15 January 2019","Beautifully written research based book",5,"","1"
"R2K50NLXYAPJSG","SnoopyDa","
  Updates now that i completed reading the book: The essence of the book's measages is concentrated Chapter 14 onwards. Rest just builds up the context/drama. Few pages like 235 carry diagrams with fonts so small that you need a magnifying glass to read.I have read 46 pages, reached mid of Chapter 5, and all that the author has been trying hard so far is to communicate that rising everyday at 5AM could be a game changer. I have read several other titles from the author but this one is really really weird. I mean, 3 strangers meet at a motivational speaker event, one of them is a filthy rich dud with a private island, helicopter, dolphins and stuff and this guy offers 2 other complete strangers a fully paid trip to his island, a pick up via his private jet, so that he could teach them the 5AM morning ritual. It seems that the author has gone overboard in literally assuming his readers to be some pot smokers just sitting and waiting to hear his Alice-in-the-Wonderland kind of narrative in which anything goes, literally anything. I am quite annoyed.
","Reviewed in India on 6 December 2020","A really really weird book so far",2,"","0"
"R1O9LH8HR0MXEH","Urmila Naidu","
  The 5 AM Club is another pearl of wisdom offered by legendary leadership and elite performance expert Robin Sharma. The best and most powerful message I achieved through this book is the Mindset, Heartset, Soulset and Healthset.Applying this principle has helped me personally in a big way. For example, I could author a book for the first time. Simply crafted, this book radiates very powerful messages inspiring readers to elevate their lives phenomenally. It illustrates how the world’s geniuses and legends are born out of this simple yet extreme discipline which is a scientifically proven to influence neuroscience and your personality.Practising this habit can enable your personal growth in a phenomenally different manner. Its powerful messages give you the keys to unleash the immense potential locked within you by ignoring digital distractions and trivial diversions with an ultimate objective to dive head first towards enabling your magnificent impact on the world around you.Packed with profound wisdom yet so lucid in flow, I simply love this book and find it a priceless asset straight from Robin’s heart.Thanks Robin for influencing my heartset, soulset, mindset and healthset through the 5 AM Club.
","Reviewed in India on 17 January 2019","Book Review - The 5 AM Club",5,"https://images-na.ssl-images-amazon.com/images/I/312Tn5yaMsL.jpg","1"
"R1BF0UH9SU83ZY","apurv s.","
  It's not an original copy, its a photocopy, better to read it on kindle, one buys a hardcopy for the feel of the book, but just to make a markup people don't advertise that and that's not right, bok itself is a good one but there are points where pictorial representation is needed and that's just pathetic in quality takes away the entire feel of reading an actual book is just sabotaged
","Reviewed in India on 6 August 2019","Photocopy",2,"","1"
"RIJ9SKPMYKNSC","Vaishnavi","
  The book is in a story formal so if you are looking for an easy read to understand how to elevate your life without the hard words than you should read this book! It comes with diagrams and graphs to make you understand better! It is basically about how by waking up early and managing your time well you can change your life for the better!
","Reviewed in India on 23 August 2019","A must read!",4,"","1"
"R1FDQ2M593A1XR","Shinjini Amitabh Chawla","
  I read the other reviews here and I would agree that the story is a tad bit stretched and gets hard to get through. BUT, it’s most definitely motivational. I’ve bought Robin Sharma’s course in the past and seen endless videos, read many articles he’s written. What I loved about this book was that it repeats the best wisdom he’s shared over the years in one place. Yes, some might find it repetitive, but guess what Robin Sharma says about repeating good information? It starts to drill itself into your mind, the more you repeat it! I’ve not even finished reading the book but already finding it inspirational. And I love how all his best quotes have been incorporated into the story. Yes, it’s a heavy often slow read. But if you picked this book up to get classic RS motivation on waking up early, you will get it.
","Reviewed in India on 18 January 2019","Yes, it’s a slow read but still AWESOME.",5,"","1"
"RXG7TK9618Q3F","AK","
  I mean. What the hell is wrong with the author. Such an unrealistic story - 95% of the book is full of crap. 5% is the same stuff you get on YouTube when you type benefits of getting early at 5.00 am.Please skip this book. You will thank me laterInstead - Read - The 5 second rule book by Mel Robbins and the miracle morning by HAL Elrod
","Reviewed in India on 22 August 2019","One Word: Crap",1,"","1"
"R33KPBHHQFCYC4","Sunny","
  I usually don’t read this kinda of books(First 50 pages of U can achieve this and that blah blah) initially while reading I was hoping for author to move ahead with story but all I got was quotes , some over explanation of who wore what clothes and all , i understand that some writing is required for characters personality to portray but this was way too boring and cliche. I’ll be honest - I read book around page 265 , I couldn’t bear the Bollywood style implementation of story telling. Basically I  Would sum up this book for - if u are someone who gets motivated by quotes , inspiring fictional stories then you might like this book. And for people like me who are realistic and don’t have appetite for loosely written story and forceful details about something that are completely irrelevant with flow of the intent would definitely hate this book
","Reviewed in India on 2 June 2020","All hype , loosely written book !",1,"","0"
"R1783IZO7STMPK","Hasita","
  It’s so sad that this book should have been a podcast or something and would have made such a massive impact. It’s got great stuff but spends close to a 100 pages advertising itself. I’ve already bought the book! I don’t need more encouragement to buy into the idea.You get tired of reading ‘own your morning, elevate your life’ over and over again without actually getting to the ‘how’ and the fiction adds nothing of value to the book. What it is is basically a collection of quotes and bits and pieces of the process. Would have been excellent even as a workshop but should never have become a book.However, I give it three stars because the actual useful stuff is pretty useful. So if someone can sit through the boring lectures, the takeaway is useful.
","Reviewed in India on 29 January 2020","Wish it had been trimmed to 50 pages",3,"","0"
"R23CGN1TGDPGCR","Fact Pandit","
  The 5 AM Club: Own Your Morning, Elevate Your Life Is a good book for personality development. The book provides a great morning routine to follow for maximum utilization of self. The morning routines are well defined and very compelling. The book provides numerous quotes and trivia facts that makes you think and puts your mind to work. The book explains a story of two individuals who desperately need to better their lives and unexpectedly go on an adventure with billionaire who sharpens them up and teaches them the morning routine. The story isn’t well constructed and I personally questioned the presence of the plot. There is a strong fluctuation  between the plot and the learning element which could have been better. A bit confusing at times. Nonetheless, a great book for finding the perfect morning routine.
","Reviewed in India on 17 August 2020","Elevated life, but not the plot",3,"","0"
"RRKOQWCH46DDY","Digvijay Singh Tomar","
  This is what happens when Robin Sharma tries to write a novel. Pathetic book and a drag. Very difficult to read. Just a lot of quotations which he has used in his previous books and a concept of waking up at 5 AM. Was a fan of Robin, but would think twice before buying his future books.
","Reviewed in India on 9 January 2019","Worst Robin Sharma Book Ever",1,"","1"
"R1LUXVNEHCH7ME","Rani Naveen","
  The best book, starting is a bit slow but from 8th chapter onwards there's a lot of wisdom and new techniques given by Robin.... I am reading chapter 12 now and I realize why Robin said that he wrote it with his sweat.......Don't just judge it by 1st some chapters bcoz miracles are hidden after chapter 8th...And the various techniques he insisted in it they r awesome.....What's simplification in life?We just always get confused that simplification depends on externality,  how we wear or behave or show to others but in my life I just redefined this term by the blessing called the #5AMClubSome lines on simplifying-"" simplify,  streamline everything. Become a purist.  Less is really more.  Concentrate on just a few work projects so you can make them amazing versus diluting your attention on too many.  and socially have fewer friends but go deeper with them so the relationship is rich.  Accept fewer invitations,  major in few leisure activities and study,  then master,  a small number of books versus skimming away. An intense concentration only on what matters most is how pros realize victory. ""
","Reviewed in India on 14 January 2019","I loved it!!!",5,"https://images-na.ssl-images-amazon.com/images/I/716KxKIEIrL.jpg","1"
"ROBTBVLKGBWVQ","Abhishek Panchal","
  Just one message Robin sharma want to deliver from this lengthy book.... Pls dont read this book it has northing to inform u except wake early and do exercise... Meditate... Plan ur day write a journal and sleep well...instead of wasting ur precious time reading this worst book.. Invest it into reading something useful..! Stay away from this novel.. Ya its boring novel.
","Reviewed in India on 18 April 2020","Robin Sharma... never follow his advice",1,"","1"
